Data,gioele,gabriele,campaggiorni,denni,nastini,corsi,memmo,sami,jojo,perfo,pesciolino
"sabato, luglio 27, 2024",0,,0,0,19,,,,,,
"lunedì, luglio 29, 2024",,,,,,,,,,,
"martedì, luglio 30, 2024",,,,,,,,,,,
"mercoledì, luglio 31, 2024",,,,,,,,,,,
"giovedì, agosto 01, 2024",,,,,,,,,,,
"venerdì, agosto 02, 2024",,,,,,,,,,,
"sabato, agosto 03, 2024",,,,,,,,,,,
"domenica, agosto 04, 2024",,,,,,,,,,,
"lunedì, agosto 05, 2024",,,,,,,,,,,
"martedì, agosto 06, 2024",0,,0,0,,,,,,,
"mercoledì, agosto 07, 2024",0,,0,0,21,,,,,,
"giovedì, agosto 08, 2024",,,,,,,,,,,
"venerdì, agosto 09, 2024",,,0,0,0,,,,,,
"sabato, agosto 10, 2024",0,,0,,,,0,,,,
"domenica, agosto 11, 2024",17,,0,0,0,,,,,,
"lunedì, agosto 12, 2024",0,,0,0,0,0,,,,,
"martedì, agosto 13, 2024",,,,,,,,,,,
"mercoledì, agosto 14, 2024",0,0,0,0,,0,0,,,,
"giovedì, agosto 15, 2024",14,,0,0,,,0,14,,,
"venerdì, agosto 16, 2024",0,0,0,0,30,,0,,,,
"sabato, agosto 17, 2024",,,,,,14,,,,,
"domenica, agosto 18, 2024",,,0,0,0,11,,,,,
"lunedì, agosto 19, 2024",,,0,,0,0,,,,,
"martedì, agosto 20, 2024",,0,0,0,,,,0,,,
"mercoledì, agosto 21, 2024",,,0,,0,,,,,,
"giovedì, agosto 22, 2024",,,0,0,,,,,,,
"venerdì, agosto 23, 2024",,,,,,,,,,,
"sabato, agosto 24, 2024",0,0,0,0,,,,,,,
"domenica, agosto 25, 2024",0,,0,0,0,0,,,,,
"lunedì, agosto 26, 2024",,,,,,,,,,,
"martedì, agosto 27, 2024",,,,,,,,,,,
"mercoledì, agosto 28, 2024",,,,,,,,,,,
"giovedì, agosto 29, 2024",,,,,,,,,,,
"venerdì, agosto 30, 2024",,,0,,,,,12,,,
"sabato, agosto 31, 2024",0,,0,,,,,,,,
"domenica, settembre 01, 2024",0,,,0,,,,,,,
"lunedì, settembre 02, 2024",0,,,0,,,,,,,
"martedì, settembre 03, 2024",0,,,,,,,,,,
